"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","Position","Track.Name","Artist","Streams","URL"
"1",0.753,0.454,7,-9.488,1,0.0963,0.0244,0.0000562,0.498,0.344,77.17,"audio_features","2XW4DbS6NddZxRPm5rMCeY","spotify:track:2XW4DbS6NddZxRPm5rMCeY","https://api.spotify.com/v1/tracks/2XW4DbS6NddZxRPm5rMCeY","https://api.spotify.com/v1/audio-analysis/2XW4DbS6NddZxRPm5rMCeY",198960,4,1,"God's Plan","Drake",7764821,"https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY"
"2",0.532,0.642,5,-4.891,0,0.111,0.0548,0.000246,0.0991,0.536,193.016,"audio_features","2Imq77E6CEJR5TPUxlJvTY","spotify:track:2Imq77E6CEJR5TPUxlJvTY","https://api.spotify.com/v1/tracks/2Imq77E6CEJR5TPUxlJvTY","https://api.spotify.com/v1/audio-analysis/2Imq77E6CEJR5TPUxlJvTY",232187,4,2,"All The Stars (with SZA)","Kendrick Lamar",4430173,"https://open.spotify.com/track/2Imq77E6CEJR5TPUxlJvTY"
"3",0.716,0.805,4,-3.839,1,0.0856,0.014,0.0000031,0.291,0.719,142.886,"audio_features","6tHWl8ows5JOZq9Yfaqn3M","spotify:track:6tHWl8ows5JOZq9Yfaqn3M","https://api.spotify.com/v1/tracks/6tHWl8ows5JOZq9Yfaqn3M","https://api.spotify.com/v1/audio-analysis/6tHWl8ows5JOZq9Yfaqn3M",133995,4,3,"Mine","Bazzi",3381551,"https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M"
"4",0.728,0.668,2,-5.02,1,0.126,0.0805,0.0000149,0.102,0.162,100.537,"audio_features","4ofvoCdXq99vpMZO4Cfp8x","spotify:track:4ofvoCdXq99vpMZO4Cfp8x","https://api.spotify.com/v1/tracks/4ofvoCdXq99vpMZO4Cfp8x","https://api.spotify.com/v1/audio-analysis/4ofvoCdXq99vpMZO4Cfp8x",211440,4,4,"Pray For Me (with Kendrick Lamar)","The Weeknd",3302929,"https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x"
"5",0.836,0.552,7,-5.66,1,0.0851,0.0433,0,0.0773,0.525,97.036,"audio_features","76cy1WJvNGJTj78UqeA5zr","spotify:track:76cy1WJvNGJTj78UqeA5zr","https://api.spotify.com/v1/tracks/76cy1WJvNGJTj78UqeA5zr","https://api.spotify.com/v1/audio-analysis/76cy1WJvNGJTj78UqeA5zr",218173,4,5,"IDGAF","Dua Lipa",3039480,"https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr"
"6",0.578,0.532,5,-6.636,0,0.066,0.117,0.0000897,0.143,0.12,159.784,"audio_features","2U7Hu2RaNQNRi7izoJyZaX","spotify:track:2U7Hu2RaNQNRi7izoJyZaX","https://api.spotify.com/v1/tracks/2U7Hu2RaNQNRi7izoJyZaX","https://api.spotify.com/v1/audio-analysis/2U7Hu2RaNQNRi7izoJyZaX",218320,4,6,"rockstar","Post Malone",2931462,"https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX"
"7",0.922,0.581,10,-7.495,1,0.27,0.00104,0.0000586,0.105,0.595,140.022,"audio_features","4qKcDkK6siZ7Jp1Jb4m0aL","spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL","https://api.spotify.com/v1/tracks/4qKcDkK6siZ7Jp1Jb4m0aL","https://api.spotify.com/v1/audio-analysis/4qKcDkK6siZ7Jp1Jb4m0aL",181263,4,7,"Look Alive (feat. Drake)","BlocBoy JB",2845450,"https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL"
"8",0.765,0.523,2,-4.333,1,0.03,0.184,0.0000356,0.132,0.394,104.988,"audio_features","1rfofaqEpACxVEHIZBJe6W","spotify:track:1rfofaqEpACxVEHIZBJe6W","https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W","https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W",217307,4,8,"Havana","Camila Cabello",2705593,"https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W"
"9",0.745,0.652,7,-3.099,1,0.0604,0.198,0,0.133,0.409,106.809,"audio_features","09IStsImFySgyp0pIQdqAc","spotify:track:09IStsImFySgyp0pIQdqAc","https://api.spotify.com/v1/tracks/09IStsImFySgyp0pIQdqAc","https://api.spotify.com/v1/audio-analysis/09IStsImFySgyp0pIQdqAc",184732,4,9,"The Middle","Zedd",2647822,"https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc"
"10",0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,"audio_features","08bNPGLD8AhKpnnERrAc6G","spotify:track:08bNPGLD8AhKpnnERrAc6G","https://api.spotify.com/v1/tracks/08bNPGLD8AhKpnnERrAc6G","https://api.spotify.com/v1/audio-analysis/08bNPGLD8AhKpnnERrAc6G",202621,4,10,"FRIENDS","Marshmello",2621025,"https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G"
